energy,heating,price,area,rooms,fee,zipcode,construction_year,price_per_area,heating_raw,house_age,rooms_per_area,heating_clean_fußbodenheizung,heating_clean_minergie,heating_clean_missing,heating_clean_other,heating_clean_wärmepumpe,heating_clean_zentralheizung,energy_clean_gas,energy_clean_missing,energy_clean_other,energy_clean_öl,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_17,level_21,level_23,level_24,level_2023,log_price,log_area,log_fee,age_bin,rooms_per_area_bin,zipcode_freq
na,na,399900,70.0,2,3.57,10247,1900,5712.857142857143,na,125,0.02857142857142857,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.89897229545694,4.2626798770413155,1.5195132049061133,,0,0.027752081406105456
Fernwärme,Zentralheizung,699000,100.63,4,3.57,12683,2021,6946.2386962138535,Zentralheizung,4,0.039749577660737355,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.457407451830088,4.621338767149675,1.5195132049061133,new,3,0.0018501387604070306
na,na,850000,95.0,3,3.57,10179,1956,8947.368421052632,na,69,0.031578947368421054,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.652992804936396,4.564348191467836,1.5195132049061133,very_old,1,0.00971322849213691
na,na,259000,83.0,3,3.57,12277,1956,3120.4819277108436,na,69,0.03614457831325301,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.464587201678082,4.430816798843313,1.5195132049061133,very_old,2,0.005319148936170213
Gas,Zentralheizung,339900,60.73,2,3.57,13357,1995,5596.904330643833,Zentralheizung,30,0.032932652725177015,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.736409677721657,4.122770036405805,1.5195132049061133,recent,1,0.005087881591119334
na,na,890000,65.0,2,3.57,10405,1956,13692.307692307691,na,69,0.03076923076923077,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.698977865303197,4.189654742026425,1.5195132049061133,very_old,1,0.009019426456984274
na,na,439900,90.0,3,3.57,13359,1956,4887.777777777777,na,69,0.03333333333333333,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.994304980578146,4.51085950651685,1.5195132049061133,very_old,1,0.004162812210915819
Fernwärme,"Fußbodenheizung, ",1999000,186.0,5,3.57,10711,2019,10747.31182795699,"Fußbodenheizung, ",6,0.026881720430107527,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.508158113732536,5.231108616854587,1.5195132049061133,new,0,0.009481961147086031
Fernwärme,Zentralheizung,695000,103.35,3,3.57,10245,1901,6724.721819061442,Zentralheizung,124,0.02902757619738752,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.451668563394815,4.647750633523209,1.5195132049061133,,1,0.022201665124884366
na,na,839000,113.85,3,3.57,12205,2017,7369.345630215196,na,8,0.02635046113306983,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.639967177343745,4.743626929135107,1.5195132049061133,new,0,0.004856614246068455
na,na,239000,71.0,2,3.57,13158,1956,3366.1971830985917,na,69,0.028169014084507043,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.384223015005313,4.276666119016055,1.5195132049061133,very_old,0,0.005550416281221091
na,na,645000,84.0,3,3.57,10249,1956,7678.571428571428,na,69,0.03571428571428571,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.377007146164305,4.442651256490317,1.5195132049061133,very_old,2,0.008325624421831638
na,na,469000,63.02,2,3.57,13086,1956,7442.081878768645,na,69,0.031735956839098696,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.058360179622305,4.159195534541717,1.5195132049061133,very_old,1,0.006244218316373728
na,na,509000,74.39,3,3.57,13086,1956,6842.317515795134,na,69,0.04032800107541336,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.140205260167273,4.32267464022361,1.5195132049061133,very_old,3,0.006244218316373728
